Flow Key,Flow Name,Amount,Unit,Categories,Type,Category,Mass_Equivalent_kg,Energy_Equivalent_MJ,Water_Mass_Equivalent_kg,kg_Factor,MJ_Factor,kg_water_factor,Mass_Water_Equivalent_kg
"('ecoinvent-3.12-biosphere', 'f466775b-d475-4f5d-8b5a-0248c6b94449')",Ethylene oxide,7.712960112292008e-12,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),7.712960112292008e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '24e0a9cb-a789-46e2-a25c-0278a90d67e5')",Beryllium II,-3.0080582276986744e-08,kilogram,"('water', 'ground-, long-term')",emission,Waste Emissions (W),3.0080582276986744e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e7505014-f2fe-4c77-b3ec-02cf5e5b6e4a')",Peracetic acid,1.4423182623229383e-10,kilogram,"('water',)",emission,Waste Emissions (W),1.4423182623229383e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '7e246e3a-5cff-43fc-a8e6-02d191424559')",Barium II,2.3972636966124543e-07,kilogram,"('air',)",emission,Waste Emissions (W),2.3972636966124543e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '31d6cf74-5677-5e76-830d-02d214cbdb2d')",Acetamiprid,1.8851680318856156e-15,kilogram,"('water',)",emission,Waste Emissions (W),1.8851680318856156e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '16ecf636-ebcd-59e3-bd2d-0306622aa375')",Spirotetramat,2.004138471298007e-18,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),2.004138471298007e-18,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'f77c5e36-ee47-4437-b757-03139bb1d6d6')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.1870076751362684e-12,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.1870076751362684e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'ce9fd912-233a-4807-a33e-0323b1e4a7a2')",Magnesium,-0.0008052588329834426,kilogram,"('water', 'ground-, long-term')",emission,Waste Emissions (W),0.0008052588329834426,,,1.0,,,
"('ecoinvent-3.12-biosphere', '49c42751-1b0b-4ab1-8e70-032e991ce6fd')","Hydrocarbons, unspecified",9.727907081545565e-09,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),9.727907081545565e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '6f1a4695-eef7-5474-827b-033045e48c56')",Cupric hydroxide,4.6848705232881894e-17,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),4.6848705232881894e-17,,,1.0,,,
"('ecoinvent-3.12-biosphere', '5457df7d-0461-407c-9f09-0338dbff77ef')",Beryllium II,-1.0250221342880176e-10,kilogram,"('air', 'low population density, long-term')",emission,Waste Emissions (W),1.0250221342880176e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '2e0c9efa-d55c-49db-8be3-0376d5921ff4')",Aluminium III,2.1851681393962543e-06,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),2.1851681393962543e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'f3d18a02-8ddc-5c5d-acff-039d120446fd')",Lambda-cyhalothrin,3.4635994883901487e-13,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),3.4635994883901487e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '98313bb5-3f35-4e11-bf3e-03ad2dae591b')",Hydrogen peroxide,3.792012530743389e-05,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),3.792012530743389e-05,,,1.0,,,
"('ecoinvent-3.12-biosphere', '910b7532-d541-45a5-a535-03f54997726e')",Acetamiprid,3.6381120899921346e-12,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),3.6381120899921346e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '446e7a93-6ac4-4bdf-b97d-03f683c7488c')",Isobutanol,1.4276714006242623e-10,kilogram,"('water',)",emission,Waste Emissions (W),1.4276714006242623e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'afd6d670-bbb0-4625-9730-04088a5b035e')",Dinitrogen monoxide,1.48851346916285e-05,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.48851346916285e-05,,,1.0,,,
"('ecoinvent-3.12-biosphere', '62f3d964-9b53-4d01-9ee0-04112dcfc6d2')",Phosphorus,-1.0127445239127434e-12,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),1.0127445239127434e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '063a0cee-aa71-4ea6-85ca-045c74ca1a66')",Diquat,2.2026311598257015e-09,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),2.2026311598257015e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '7fdc928c-f347-45e7-82d7-046acdf878ae')","Transformation, from dump site, residual material landfill",3.3918079143864465e-07,square meter,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '93aee31e-c6e1-5ea0-9d85-048ee2cc57ed')",Chlorimuron-ethyl,1.4082806333631578e-13,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),1.4082806333631578e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '43a76088-d768-4807-b70b-049019c9b3f7')",Paraquat,-6.819489557632168e-15,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),6.819489557632168e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '83cc3810-ac58-40a3-97af-04a855d4c809')",Oxydemeton-methyl,1.2866068997607017e-13,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.2866068997607017e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '0f901f59-84bd-42a5-9a4c-04bd8cac7fb9')",Mecoprop-P,1.2368174837428719e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.2368174837428719e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'a66849fd-060a-40b5-bd9d-04caa632b75c')",t-Butyl amine,5.35630134646001e-09,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),5.35630134646001e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'fd153f15-1d16-410a-91fa-04d205e36c43')",Copper ion,4.867887342134369e-08,kilogram,"('air', 'low population density, long-term')",emission,Waste Emissions (W),4.867887342134369e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', '7464da86-f239-4bef-a778-04d5818bb956')","Transformation, to pasture, man made, extensive",1.873615971262466e-09,square meter,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '06b8a67f-5044-4060-be71-04e1dfc31e24')",Chlorothalonil,1.3048001123454538e-08,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.3048001123454538e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', '6ce302db-96b8-4a21-9237-050ecde39aee')",Butene,1.1897929308011473e-10,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),1.1897929308011473e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '51c7daf4-14e1-45e9-aa67-051c4ddcd9da')",Trinexapac-ethyl,-4.136002395233153e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),4.136002395233153e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'a46a250e-297d-43e9-b1c4-052cdcfb79c5')",Vanadium V,1.8491535235459392e-07,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),1.8491535235459392e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '58a3086e-3ded-4751-a313-05608f725081')",Boron,2.902176165274192e-07,kilogram,"('soil', 'industrial')",emission,Waste Emissions (W),2.902176165274192e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '05f078ed-c834-45e3-aea0-05609ca93b4c')",Metolachlor,8.2267733249185e-17,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),8.2267733249185e-17,,,1.0,,,
"('ecoinvent-3.12-biosphere', '51254820-3456-4373-b7b4-056cf7b16e01')",Water,0.0010299548224341445,cubic meter,"('water', 'ground-')",emission,Cleaned Emissions (Er),,,,,,,
"('ecoinvent-3.12-biosphere', 'bb75214b-da7a-5094-a88b-0582b5245ef9')",Spinosad,6.548720365866087e-18,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),6.548720365866087e-18,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'df0ba4e1-ab58-4e03-ac9e-05c76ebfa7ec')",Scandium,5.389405090084357e-10,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),5.389405090084357e-10,,,1.0,,,
