Flow Key,Flow Name,Amount,Unit,Categories,Type,Category,Mass_Equivalent_kg,Energy_Equivalent_MJ,Water_Mass_Equivalent_kg,kg_Factor,MJ_Factor,kg_water_factor,Mass_Water_Equivalent_kg
"('ecoinvent-3.12-biosphere', '24541c8c-9f11-49ae-9de5-456f238a3f5e')",Hydrogen fluoride,4.9293808488218335e-06,kilogram,"('air',)",emission,Waste Emissions (W),4.9293808488218335e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', '9325957a-bee5-4f2d-8bd1-458729c5e49e')",Mercury II,1.0254936267321144e-09,kilogram,"('water',)",emission,Waste Emissions (W),1.0254936267321144e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e34d3da4-a3d5-41be-84b5-458afe32c990')",Chromium III,7.813667881004121e-08,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),7.813667881004121e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', '0d3ccb17-b3fe-4c08-b7cb-458ed3ababf1')",Ethanol,1.2294838516811642e-07,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.2294838516811642e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'c1b91234-6f24-417b-8309-46111d09c457')",Nitrogen oxides,0.0004161932984463266,kilogram,"('air',)",emission,Waste Emissions (W),0.0004161932984463266,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'cc667a3d-e88b-42f7-b265-461b7d66837f')",Diflufenzopyr-sodium,9.205357252798491e-12,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),9.205357252798491e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '592bf69f-8551-4611-8942-4620be0adabe')","Transformation, from pasture, man made, intensive",2.6104780774763586e-07,square meter,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '276e755c-ed57-466a-b555-4658c791f385')",Beryllium II,1.020926378905028e-10,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),1.020926378905028e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e8afeb8a-3162-53ea-86c0-466cd3a630e7')",Beta-cyfluthrin,1.9307045538764155e-15,kilogram,"('water',)",emission,Waste Emissions (W),1.9307045538764155e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'd4291dd5-dae8-47fa-bf06-466fcecbc210')",Cobalt II,3.950453088000948e-07,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),3.950453088000948e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '39adb2de-3853-53ef-b5be-46892b82e0fd')",Picoxystrobin,6.108440913681045e-14,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),6.108440913681045e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', '736923cd-6eb7-4896-98f8-46951d56da97')",Chlorpyrifos,1.766203301645598e-10,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.766203301645598e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'af83b42f-a4e6-4457-be74-46a87798f82a')",Cadmium II,2.665435264367877e-08,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),2.665435264367877e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'dbe60d0b-d2fd-533e-a63a-46d02c6a5ef2')",Paclobutrazol,3.086232779587741e-19,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),3.086232779587741e-19,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e300ab62-a6ad-57ab-9395-46d773695d92')",Fenoxaprop-P,1.7425879445117947e-18,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),1.7425879445117947e-18,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'd5c40848-fc29-47fa-90a4-46db64a45a4e')",Tin ion,6.582346381456275e-10,kilogram,"('water',)",emission,Waste Emissions (W),6.582346381456275e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '554be2fb-9bb9-46c6-a4df-46df0d53cb65')",Hydrogen sulfide,2.513188816781838e-05,kilogram,"('water', 'ground-, long-term')",emission,Waste Emissions (W),2.513188816781838e-05,,,1.0,,,
"('ecoinvent-3.12-biosphere', '36c96aed-9335-4564-8cdd-46f01a13700c')","NMVOC, non-methane volatile organic compounds",1.1660059169597672e-12,kilogram,"('air', 'lower stratosphere + upper troposphere')",emission,Waste Emissions (W),1.1660059169597672e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '2d50f4c8-a917-4496-a7d9-470b080faf68')","Hydrocarbons, aliphatic, unsaturated",-5.630897428611621e-07,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),5.630897428611621e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '85bec19f-c785-4364-8ef6-472b8e9dd90e')",Chloride,-0.0001850046427560775,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),0.0001850046427560775,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'b4e995b9-f5cf-5df0-b4ca-474198af4c0c')",Fluazifop-P-butyl,8.22115044484662e-15,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),8.22115044484662e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '6b29d83a-c43c-484c-8e73-474a8a22d71e')",Chromium III,7.042109629651637e-11,kilogram,"('air', 'low population density, long-term')",emission,Waste Emissions (W),7.042109629651637e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'a74f6771-955e-4343-b796-4775067d51f5')",Bitertanol,-3.5186367213045813e-12,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),3.5186367213045813e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '41f1c775-e6f1-56fb-960f-47761720a7d0')",Metribuzin,4.3577992867972686e-16,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),4.3577992867972686e-16,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'b0758e8e-691c-4c96-8a90-4784c47cd962')",Beryllium II,1.045796994437342e-09,kilogram,"('soil', 'industrial')",emission,Waste Emissions (W),1.045796994437342e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '062a6faf-b1a5-4a6a-aa02-47ae3ec566a8')","Occupation, traffic area, rail network",0.0001196349286691386,square meter-year,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '46cfaeaf-f124-409f-998d-47b159051cec')","Transformation, to unspecified, natural (non-use)",9.992522068393736e-10,square meter,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '85807a72-053a-48bf-8604-47b242211d1f')",Chlorimuron-ethyl,2.723277563345473e-12,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),2.723277563345473e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '591b0a62-8064-4697-86ed-47bfa1f8b5e6')",Vanadium V,8.733846052326062e-07,kilogram,"('air',)",emission,Waste Emissions (W),8.733846052326062e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '13be989f-9a8e-420d-b27d-47c3565eb77c')",Piperonyl butoxide,2.625954402618107e-12,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),2.625954402618107e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e6137e6e-84a6-4fa1-a5bf-47c8153d7c05')","2,4-D",1.0047371703313056e-10,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.0047371703313056e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e189eb4e-0f6a-4054-aaf8-47df28c87ec4')",Caesium I,1.1186702764383928e-08,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),1.1186702764383928e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', '49cf6a32-97db-5cf4-b1d6-47ea6fd1e4c8')",Azadirachtin,1.4108322030089665e-16,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.4108322030089665e-16,,,1.0,,,
"('ecoinvent-3.12-biosphere', '863a6a9c-aa57-555d-91ff-47ef71c190b2')",Zoxamide,3.718680540605356e-19,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),3.718680540605356e-19,,,1.0,,,
"('ecoinvent-3.12-biosphere', '69ca2cc6-7dbf-5ad6-b90f-48236659dbfc')",Thiencarbazone-methyl,1.0159356328812258e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.0159356328812258e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'c8791f3c-3c4a-4278-91c0-483797d14da2')",Phosphate,1.1996410741574716e-11,kilogram,"('water',)",emission,Waste Emissions (W),1.1996410741574716e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'cec6e39b-700c-432f-8c80-4840b0ddc92e')",Pentachlorophenol,6.176889236576599e-12,kilogram,"('air',)",emission,Waste Emissions (W),6.176889236576599e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '5b1187fe-ac55-5dcf-831e-484f277962e2')",Pyraflufen-ethyl,6.89249709871952e-18,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),6.89249709871952e-18,,,1.0,,,
"('ecoinvent-3.12-biosphere', '0a6ae675-cdf2-475d-b4ef-486e78757d65')",Scandium,-3.942307701687804e-09,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),3.942307701687804e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '5c238e5f-97c8-4837-8d67-48899ddd43be')",Acenaphthene,4.6321012511422055e-10,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),4.6321012511422055e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '0e0554ad-f6aa-472e-88e0-489f19bec2bb')",Diquat dibromide,6.282034082581189e-10,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),6.282034082581189e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '5a405a78-45bb-49de-8ecc-48a5d9cf9721')",Mineral oil,4.423510984588531e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),4.423510984588531e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'c150c5a2-9521-5498-a8f3-48b6670309f6')",Imazamox,1.2809629678315238e-14,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),1.2809629678315238e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', '595f08d9-6304-497e-bb7d-48b6d2d8bff3')",Uranium,8.470235388958163e-15,kilogram,"('air',)",emission,Waste Emissions (W),8.470235388958163e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'b79a5104-24ce-5fad-9437-48d2b0184ab5')",Linuron,3.883791626254212e-17,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),3.883791626254212e-17,,,1.0,,,
"('ecoinvent-3.12-biosphere', '1836d8db-abda-5275-8445-4904f7a8f91d')",Hafnium,2.766179410564915e-05,kilogram,"('natural resource', 'in ground')",natural resource,Natural Resources (V),2.766179410564915e-05,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'd45eed0a-e60a-46bb-a769-494f037c71bc')","2,4-Dichlorophenol",2.101949671550128e-12,kilogram,"('air',)",emission,Waste Emissions (W),2.101949671550128e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'ebc5f04e-ae40-49b1-b07b-495f67e26c28')",Rubidium,1.1186702607845653e-07,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),1.1186702607845653e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '56ec994a-eb96-42e8-93eb-4970e30e6362')","Occupation, urban, discontinuously built",-3.874224893840853e-06,square meter-year,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '22524a35-32c0-482a-82f7-49724ad1c595')",Diethyl ether,-2.2461033295062796e-11,kilogram,"('air',)",emission,Waste Emissions (W),2.2461033295062796e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', '479edec6-763c-49fc-83f8-49780f08cf29')",Isopropanol,2.7472837700450924e-06,kilogram,"('air',)",emission,Waste Emissions (W),2.7472837700450924e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'f4498c00-c870-40fb-a2b3-49b6f522d324')",Tributyltin compounds,1.7857646220383333e-10,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),1.7857646220383333e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '04abe114-7939-4935-9281-49e5d89cc1bc')","Hydrocarbons, aromatic",1.1067097110221767e-13,kilogram,"('water',)",emission,Waste Emissions (W),1.1067097110221767e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '7ae387da-8a0f-4931-97d4-49e93c0f5482')",Thallium I,4.3280402381305955e-12,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),4.3280402381305955e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '66729b69-c76f-43b2-bd9a-4a03c4983afd')",Formaldehyde,6.316072053037287e-11,kilogram,"('water',)",emission,Waste Emissions (W),6.316072053037287e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'c14ea750-4a9f-41fa-bcc1-4a1d84466f43')","Occupation, river, artificial",9.788487563899549e-05,square meter-year,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '6986913c-284b-4173-95fe-4a242498b1bc')","2,4-D ester",2.4831962371491806e-10,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),2.4831962371491806e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '43a7aa3a-a34d-467a-943f-4a263ebe8df3')",Ethyl acetate,2.0124945054269814e-10,kilogram,"('water',)",emission,Waste Emissions (W),2.0124945054269814e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '531fddfb-6ad6-5b71-af1f-4a268396581b')",Picloram,1.1144922818208511e-20,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),1.1144922818208511e-20,,,1.0,,,
"('ecoinvent-3.12-biosphere', '8fc48d82-8a56-5088-80d4-4a50daf68546')",Methoxyfenozide,1.3721295553519988e-14,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),1.3721295553519988e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', '0390d424-73c6-579e-8c8d-4a544f1698f4')",Thiabendazole,3.0397914018994886e-14,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),3.0397914018994886e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', '9a891f6c-937c-4226-9702-4a552973ae3f')",Organic carbon,1.1720695246537946e-08,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),1.1720695246537946e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'a6889a22-e99e-42ea-85cd-4a68d7975dcd')","Occupation, annual crop, non-irrigated",4.352726187628926e-05,square meter-year,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '7b192eb2-644e-544a-9299-4a79cb4dd479')",Aluminium hydroxide,6.920687359815575e-11,kilogram,"('water',)",emission,Waste Emissions (W),6.920687359815575e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', '35d1dff5-b535-4628-9826-4a8fce08a1f2')",Sulfur hexafluoride,2.995759595970389e-08,kilogram,"('air',)",emission,Waste Emissions (W),2.995759595970389e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', '113746e5-66a9-4d8c-b72b-4a99e7fcd052')","VOC, volatile organic compounds",3.915346026623911e-06,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),3.915346026623911e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', '66611217-6711-4b3a-8966-4ab2b7107ca6')",Diethylamine,3.301950980347994e-10,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),3.301950980347994e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '0d213eaa-6dec-4669-b75e-4afeb06ac31d')",Carbonate,6.255658027286798e-05,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),6.255658027286798e-05,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'c5035ce2-5ee5-431f-a287-4b25da42be74')",Peat,1.9615515336446144e-07,kilogram,"('natural resource', 'biotic')",natural resource,Natural Resources (V),1.9615515336446144e-07,1.9419360183081684e-06,,1.0,9.9,,
"('ecoinvent-3.12-biosphere', '45acd8c0-657f-46d3-8026-4b3c9fadaeb6')",Selenium IV,1.012236863355261e-09,kilogram,"('soil',)",emission,Waste Emissions (W),1.012236863355261e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '58eea1e4-bf8e-409c-9d92-4b3d90d85ae0')",Triethylene glycol,5.334299139461173e-09,kilogram,"('water',)",emission,Waste Emissions (W),5.334299139461173e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '28f19625-5e6a-4902-8c18-4b519db19d86')",Dimethoate,1.2348566619828742e-10,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.2348566619828742e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '73ed05cc-9727-4abf-9516-4b5c0fe54a16')","Carbon dioxide, non-fossil",-0.584745838170542,kilogram,"('air', 'urban air close to ground')",emission,Waste Emissions (W),0.584745838170542,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'f2f53dc8-8e09-511f-8dd2-4bae3625ba27')",Holmium,1.295445187603849e-10,kilogram,"('natural resource', 'in ground')",natural resource,Natural Resources (V),1.295445187603849e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '08b928d8-1812-4e0b-b057-4bcaaba24865')",Pentachlorophenol,-4.698276185742896e-11,kilogram,"('air', 'urban air close to ground')",emission,Waste Emissions (W),4.698276185742896e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', '3d719c07-ec27-4971-b7cc-4bcf17d77dd3')",Sodium I,1.4000053764555615e-07,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.4000053764555615e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'af9793ba-25a1-4928-a14a-4bcf7d5bd3f7')",Silver I,6.360695077967165e-09,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),6.360695077967165e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '8812d4ee-4378-5a3b-a411-4bed7f882737')",Napropamide,6.597306165414976e-13,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),6.597306165414976e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '02156abf-3839-5778-897a-4c06444701d4')",Zineb,3.2895619888348743e-10,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),3.2895619888348743e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '4af69e93-b74b-4094-ab4f-4c24897f1e77')",Triclopyr,-4.434760929884398e-14,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),4.434760929884398e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', '78e7a811-78d1-5614-993c-4c2ef4587e70')",Fluopicolide,8.17402173367191e-17,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),8.17402173367191e-17,,,1.0,,,
"('ecoinvent-3.12-biosphere', '2f19a0af-a516-4f89-88ba-4c6b7cd52650')",Nitrite,-1.481783416234539e-09,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),1.481783416234539e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'b9291c72-4b1d-4275-8068-4c707dc3ce33')",Nitrate,6.021855691712769e-07,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),6.021855691712769e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '99f1e4a4-2f47-4098-8f28-4c736a5b675d')",Prochloraz,4.0127497079934477e-13,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),4.0127497079934477e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '82bb882b-572f-4af0-b35b-4c846ee49dda')",Rubidium,8.382563653022923e-08,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),8.382563653022923e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', '4dd95929-09d1-4c60-8792-4c9b6404d168')",Fentin hydroxide,7.660952477579718e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),7.660952477579718e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'd7d7692e-3f4b-5c14-9add-4c9eff49bd1f')",Cupric hydroxide,1.2767912645252014e-14,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.2767912645252014e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'b053aa52-bfac-5435-a0b1-4ca374b0e991')",Boron,0.00031614158436435956,kilogram,"('natural resource', 'in ground')",natural resource,Natural Resources (V),0.00031614158436435956,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e063ee9c-9850-42b5-b01e-4cc9b5ad7152')","Occupation, annual crop, non-irrigated, intensive",4.279735591682462e-05,square meter-year,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '6d9e9a11-4d99-4489-a0ab-4cd1b6b8eaef')","Xylenes, unspecified",1.0925604729071601e-06,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),1.0925604729071601e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', '38621996-9105-57b1-a4d4-4cdd5090aeb3')",Metalaxyl-M,4.8863642138358796e-15,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),4.8863642138358796e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '5fa36ce3-aed0-443b-a09d-4cdf25b41995')",Molybdenum VI,-4.13926624129269e-09,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),4.13926624129269e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '5e98fd60-8da0-4006-9729-4d2797f96302')","2,2,4-Trimethylpentane",8.423580423326998e-13,kilogram,"('air',)",emission,Waste Emissions (W),8.423580423326998e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '0c17c103-c3b1-4e5c-aaba-4d3d15855810')",Ketene,1.060369900233032e-09,kilogram,"('air',)",emission,Waste Emissions (W),1.060369900233032e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '130bbacf-e7c7-4ffd-b109-4d576f1d02c1')",Potassium I,4.477089256196542e-14,kilogram,"('water',)",emission,Waste Emissions (W),4.477089256196542e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', '9f69cb8e-51fe-447b-a1ac-4da74de8ebe4')",Nickel II,7.364629196593726e-05,kilogram,"('water', 'ground-, long-term')",emission,Waste Emissions (W),7.364629196593726e-05,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'd3e6b192-7dc3-58d2-a8e0-4db6c1df1ba1')",Bentazone,4.4330554081334046e-13,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),4.4330554081334046e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '2c79c4ee-6e76-5c59-a4c1-4dbdb674bc56')",Simazine,8.053631248860589e-15,kilogram,"('water',)",emission,Waste Emissions (W),8.053631248860589e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '93db5191-c13b-5e45-8ef6-4dd4ce975b37')",Chlorpyrifos methyl,1.6874436177192647e-15,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.6874436177192647e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '9c77a9ae-fcb2-48ed-ae10-4dda59dd6c61')","Carbon, organic, increase in soil or biomass stock",3.054021400728102e-06,kilogram,"('natural resource', 'in ground')",natural resource,Natural Resources (V),3.054021400728102e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', '6d74bab2-969f-419c-a2dc-4dde50cf2553')","PAH, polycyclic aromatic hydrocarbons",1.2216266377361675e-10,kilogram,"('soil',)",emission,Waste Emissions (W),1.2216266377361675e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '82c27b2a-69a8-4b1e-ad4e-4de9475630c6')","Oils, unspecified",4.661966069257358e-06,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),4.661966069257358e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', '55beee8d-d04e-4307-bb0e-4e113dc07ee7')","Transformation, to urban, discontinuously built",-7.71871497031273e-08,square meter,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '9ba627f4-3a6c-4dd6-8598-4e1639fbd85a')","VOC, volatile organic compounds",1.7489364273471559e-09,kilogram,"('water',)",emission,Waste Emissions (W),1.7489364273471559e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '583d89a5-4f69-5e5d-b3fe-4e5a7e00f321')",Thiamethoxam,1.6388969118585205e-12,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),1.6388969118585205e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '4abbbc48-a8d0-4c3a-9dea-4e67f1505230')",Ethyl benzene,2.2498825042170275e-07,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),2.2498825042170275e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '071efe89-12e0-4ff8-80d1-4e6cf1e37233')",Monoethanolamine,2.661457418284141e-12,kilogram,"('water',)",emission,Waste Emissions (W),2.661457418284141e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '1b279330-0469-4d04-9fe2-4e9a38011f0c')",o-Xylene,0.00018956642518539504,kilogram,"('water',)",emission,Waste Emissions (W),0.00018956642518539504,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e5dd63eb-bf47-5471-8fc8-4eb54aa108e5')",Alpha-cypermethrin,1.483880187010604e-17,kilogram,"('air',)",emission,Waste Emissions (W),1.483880187010604e-17,,,1.0,,,
"('ecoinvent-3.12-biosphere', '6a9e719c-eb10-587e-8309-4ee4c7eadcc6')",Thiram,6.484552808777271e-13,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),6.484552808777271e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '3d73ec21-de4d-5b68-b504-4ef59e15bd0e')",Europium,1.5198280076660854e-10,kilogram,"('natural resource', 'in ground')",natural resource,Natural Resources (V),1.5198280076660854e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'fe123de0-755b-51f3-a665-4ef65bcc510c')",Prothioconazole,2.6797473834148928e-14,kilogram,"('water',)",emission,Waste Emissions (W),2.6797473834148928e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', '152e5a83-96e8-4f54-af42-4f0925a771ac')","Heat, waste",1.791373873586998,megajoule,"('water', 'surface water')",emission,Waste Emissions (W),,1.791373873586998,,,1.0,,
"('ecoinvent-3.12-biosphere', '8ca6c84b-7f56-47e6-8d17-4f2dbc49a943')",Chlorodifluoromethane,1.9212663915352994e-10,kilogram,"('air', 'urban air close to ground')",emission,Waste Emissions (W),1.9212663915352994e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5')",Chromium III,1.1281449628390236e-05,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.1281449628390236e-05,,,1.0,,,
"('ecoinvent-3.12-biosphere', '0b94989b-2551-4069-bb11-4f9f48988cad')","VOC, volatile organic compounds",2.9179737634611976e-06,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),2.9179737634611976e-06,,,1.0,,,
"('ecoinvent-3.12-biosphere', '632c7211-cd6f-58d7-9ac2-4faa163aec91')",Laminarin,7.112393278045049e-14,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),7.112393278045049e-14,,,1.0,,,
"('ecoinvent-3.12-biosphere', '5229d225-38a2-4ec9-a7ed-4fd906a57c76')",Fenoxaprop,5.56099998381021e-12,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),5.56099998381021e-12,,,1.0,,,
