Process Key,Process Name,Location,Reference Product,Unit,ISIC Code,ISIC Division,ISIC Section,ISIC Description,LOCATION Code,UN Group,V_kg,Ri_kg,Rr_kg,Er_kg,W_kg,eta-_kg,eta+_kg,LFI_kg,CFI_kg,V_MJ,Ri_MJ,Rr_MJ,Er_MJ,W_MJ,eta-_MJ,eta+_MJ,LFI_MJ,CFI_MJ
"('ecoinvent-3.12-cutoff', '95ff43b591178e7f658fe6dc3c030e4e')","building operation, luxury hotel",BR,"building operation, luxury hotel",guest night,5510,55,I,Accommodation,BR,GRULAC,120721.69418382959,0.0,0.0,1385.9302773833406,118822.57306285723,0.9842686011506726,0.01148037464809687,0.9921343005753362,0.005740187324048435,283.82274623885985,0.0,0.0,0.0,47.15409579032319,0.1661392415343596,0.0,0.5830696207671798,0.0
"('ecoinvent-3.12-cutoff', '50043b58094bc1cae2a0fa48249d8756')","market for sewage sludge, 97% water, WWT, condensate from light oil boiler",CH,"sewage sludge, 97% water, WWT, condensate from light oil boiler",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",CH,WEOG,12.449346270911605,1.0,0.0,0.6277710719931263,12.81506791420075,0.9528394656562097,0.046676697837044805,0.939243204695923,0.06051487705070423,0.07892694815529715,0.0,0.0,0.0,0.17646139067365363,2.2357559084439336,0.0,1.617877954221967,0.0
"('ecoinvent-3.12-cutoff', '049ca11b7a1def74be4a4949b55b64f6')","market for batch dyeing, woven fabric, cotton",BD,"batch dyeing, woven fabric, cotton",kilogram,1313,13,C,Manufacture of textiles,BD,Asia-Pacific,1254.940351498761,0.0,1.0,3.317423599794953,1248.4880338880587,0.9948584666968463,0.003440341682087681,0.9974292333484231,0.0017201708410438405,7.4611841181316265,0.0,0.0,0.0,0.1586980458218733,0.021269820354146853,0.0,0.5106349101770734,0.0
"('ecoinvent-3.12-cutoff', 'c1338b835ed0c901d8d437c2c88d44fb')","maintenance, lorry 28 metric ton",RoW,"maintenance, lorry 28 metric ton",unit,4520,45,G,Wholesale and retail trade and repair of motor vehicles and motorcycles,RoW,Rest of World,63078885.83887146,0.0,0.0,53356.7408230922,62976767.4822377,0.9983811008188285,0.0008458732286328982,0.9991905504094142,0.0004229366143164491,378331.16556847084,0.0,0.0,0.0,4291.137678158323,0.011342279115997668,0.0,0.5056711395579988,0.0
"('ecoinvent-3.12-cutoff', '25a4b08dcb62031310402b05d845b6db')","market for printed wiring board, surface mounted, unspecified, Pb containing",GLO,"printed wiring board, surface mounted, unspecified, Pb containing",kilogram,2610,26,C,"Manufacture of computer, electronic and optical products",GLO,Global,2116444.7509203358,0.0,1.0,2014.9746250008661,2112091.3416652456,0.9979430555637244,0.0009525288218009092,0.9989715277818623,0.0004762644109004546,4444.943097558531,0.0,0.0,0.0,52.58742160799839,0.011830842477349827,0.0,0.505915421238675,0.0
"('ecoinvent-3.12-cutoff', 'a1be509aba0e32f2992bd47e9f63a5e1')","electricity production, hydro, reservoir, non-alpine region",SE,"electricity, high voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",SE,WEOG,8124.530849268886,0.0,0.0,0.03317949662003497,8124.510591395526,0.9999975065793045,4.083866162317636e-06,0.9999987532896523,2.041933081158818e-06,0.057096249923052914,0.0,3.6,0.0,0.001281426306202055,0.02244326567732555,63.05142640456464,0.5112216328386627,31.52571320228232
"('ecoinvent-3.12-cutoff', '6b95f91935d2c2eff2cf975b5f4464d8')","market for bottom ash, MSWI-WWT-SLF, lignite ash",GLO,"bottom ash, MSWI-WWT-SLF, lignite ash",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",GLO,Global,19.275938525801347,1.0,0.0,0.02537206131371932,19.269538339756217,0.9503648038405484,0.0012513384414454159,0.9505226309625083,0.02528544017848847,0.3828846556986758,0.0,0.0,0.0,0.005600087281511453,0.014626042590535761,0.0,0.5073130212952679,0.0
"('ecoinvent-3.12-cutoff', '4b3ee4f48c248687adba9f7c60311c23')","land already in use, annual cropland to perennial crop",BR-RJ,"land tenure, arable land, measured as carbon net primary productivity, perennial crop",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",BR-RJ,GRULAC,3.9464304447174072,0.0,1.0,0.0,14.460212707519531,3.664124557643125,0.25339354487764376,2.3320622788215624,0.12669677243882188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '60e1ecd5b55825d2dbcb89106d2c9efa')","heat and power co-generation, oil",HU,"electricity, high voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",HU,Eastern Europe,185.18512954962586,0.0,0.0,0.17167521310206416,185.48963998426328,1.0016443568410596,0.0009270464292655782,1.0008221784205298,0.0004635232146327891,11.611630819033909,0.0,3.6,0.0,0.0790517262722954,0.0068079779235413656,0.3100339699139282,0.5034039889617706,0.1550169849569641
"('ecoinvent-3.12-cutoff', 'ee0db13cf7185648884da947b345e6fc')","aluminium turning, primarily roughing, conventional",RER,"aluminium removed by turning, primarily roughing, conventional",kilogram,2592,25,C,"Manufacture of fabricated metal products, except machinery and equipment",RER,Eastern Europe,57939.24102511653,0.0,1.0,76.96279273171898,57836.48469437723,0.9982264812427426,0.001345595685278692,0.9991132406213713,0.000672797842639346,126.18015719357146,0.0,0.0,0.0,12.904029968966283,0.10226671337213795,0.0,0.551133356686069,0.0
