Process Key,Process Name,Location,Reference Product,Unit,ISIC Code,ISIC Division,ISIC Section,ISIC Description,LOCATION Code,UN Group,V_kg,Ri_kg,Rr_kg,Er_kg,W_kg,eta-_kg,eta+_kg,LFI_kg,CFI_kg,V_MJ,Ri_MJ,Rr_MJ,Er_MJ,W_MJ,eta-_MJ,eta+_MJ,LFI_MJ,CFI_MJ
"('ecoinvent-3.11-cutoff', '03ffd754d768a78b679d9d4b05e30ff5')","hydrogen production, coal gasification",US,"heat, from steam, in chemical industry",megajoule,3520,35,D,"Electricity, gas, steam and air conditioning supply",US,WEOG,91.08339849885826,0.0006770092235562013,0.0006681292174003997,0.09368483085637576,90.95721080625285,0.9986071692431274,0.0010358886506500722,0.9992998682242693,0.0005216607226194026,1.5507819859577097,0.0009982133297144467,1.0048623899952607,0.0,0.002782146971832375,0.0017928743858891447,0.6475545895331649,0.5005748022957559,0.3240989296637711
"('ecoinvent-3.11-cutoff', '51498edffa423d53dfba26a955146e2d')",isoproturon production,RoW,isoproturon,kilogram,2021,20,C,Manufacture of chemicals and chemical products,RoW,Rest of World,19884.31705183133,0.09324177429466098,1.0850177539112649,32.014464270052734,19822.345781619893,0.9968787350960219,0.001664594601259462,0.9984370229531017,0.0008346418955389561,120.00706926602486,0.11951622472489563,0.4348423677126885,0.0,2.05257193310785,0.01708674166274298,0.0036198678746776933,0.5080459113213195,0.0023073934473908445
"('ecoinvent-3.11-cutoff', 'dd07e7c53d751c2f35ad6249980e5e00')","oil power plant construction, 500MW",RER,"oil power plant, 500MW",unit,4220,42,F,Civil engineering,RER,Eastern Europe,536308830816.6343,13939089.392332774,34926403.616485424,583761219.7956517,535263872479.1136,0.9980256340279967,0.00115357329229289,0.9989998219575001,0.0005897817026445824,1809409803.9012084,36012392.02566181,82689797.48371316,0.0,37750951.412951834,0.020456539157420982,0.044808064878715685,0.5004710465147563,0.032161255503312176
"('ecoinvent-3.11-cutoff', '73d7b6c03943d16e195072db5ee98714')","treatment of waste paint, sanitary landfill",RoW,waste paint,kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",RoW,Rest of World,13.377176721727912,1.000134367277724,0.00022687524354440572,3.97759868191085,13.209979932757552,0.9188074077954156,0.2766738183884918,0.9246220134589953,0.17311859963295836,0.2579302973481833,0.00011295625191106526,0.0007565323842642955,0.0,10.817455475125527,41.92109394144445,0.002931804547142863,21.46032809995088,0.0016847730449152942
"('ecoinvent-3.11-cutoff', '53cf507c2ce63b1accc37106c23dabb0')",tin mine operation,RoW,tin concentrate,kilogram,0729,07,B,Mining of metal ores,RoW,Rest of World,25165.237086817546,0.1087434330747627,1.08579153672353,203.70320420591153,24921.55551225498,0.9903124590601659,0.008137738186632168,0.9951540689511303,0.004071029672268749,54.15837712613368,0.1611279992968282,0.7072261672657385,0.0,0.809457022089003,0.01490177460600692,0.01301974614151335,0.5059677368313197,0.007993023542440497
"('ecoinvent-3.11-cutoff', '8026b18674107de46ed1a26735382758')","market for land tenure, arable land, measured as carbon net primary productivity, annual crop",DE,"land tenure, arable land, measured as carbon net primary productivity, annual crop",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",DE,WEOG,6.467650467189655,0.00011998819450665562,1.0002424873872222,0.029196662768233093,7.728902838325396,1.194987189424973,0.15916445354032135,1.097484318858053,0.07959150262459416,0.21863900336645659,4.654443349120054e-05,0.0006285909281312397,0.0,0.002904419045863702,0.013281257381126286,0.002874405439477285,0.5065342100589721,0.0015436213513296496
"('ecoinvent-3.11-cutoff', 'dc58d81da699376e9dd2f62a6b9a815b')","market for bottom ash, MSWI[F], waste packaging paper",CH,"bottom ash, MSWI[F], waste packaging paper",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",CH,WEOG,27.918705149012773,1.0001615289828898,0.00027763321894770307,0.015035139531974199,27.95217816758937,0.9665723929927778,0.0005295080516614219,0.965993652841075,0.017557297681144696,0.253360970712187,0.0002915703049375674,0.001060373885875056,0.0,0.002722496691883478,0.010733173344002403,0.004180418936956236,0.504791843159146,0.002664952981333136
"('ecoinvent-3.11-cutoff', 'cb53f9e13ac2ab7ee9af3abbd6f6999b')",silica sand production,RoW,silica sand,kilogram,0810,08,B,Other mining and quarrying,RoW,Rest of World,37.080664619996284,0.0010315098016411021,1.0004103914228226,0.027426103317373978,35.974809647584394,0.9701500579062222,0.027718162921740053,0.98506112034173,0.013872990072251104,0.38262848286185114,0.0012684181344007992,0.001419505312221514,0.0,0.0033638913191025932,0.008762486257047007,0.0036976211804204506,0.5027292134675532,0.003500840251180558
"('ecoinvent-3.11-cutoff', 'a5dc889f4ddb3734b580506d5dd3b8c3')","transport, freight, lorry, 16-32 metric ton, diesel, unregulated",BR,"transport, freight, lorry, 16-32 metric ton, diesel, unregulated",ton kilometer,4923,49,H,Land transport and transport via pipelines,BR,GRULAC,174.58742252587683,0.002546515463592657,0.003803169534665685,0.2477475572763999,174.09063783311618,0.9971399776804702,0.001440808588215638,0.9985626959943814,0.000727697139961379,2.878944279486326,0.020028489865409338,0.010980402698993051,0.0,0.04120875507062638,0.014214950725405203,0.003787687423310456,0.5036530638419817,0.005348255232376081
"('ecoinvent-3.11-cutoff', '74391b13c1ed967985b74c26e295f009')","treatment of sewage sludge, 97% water, WWT, WW from potato starch production, landfarming",RoW,"sewage sludge, 97% water, WWT, WW from potato starch production",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",RoW,Rest of World,2.2249531907761426,1.000034663763281,8.874596182123524e-05,0.6141649291600285,2.6410731731946617,0.8189405022028668,0.19046697315688788,0.7544255332809223,0.25027820439895504,0.018561585965008003,1.4103061151047171e-05,0.00022582881455535954,0.0,0.7500891292162922,40.38015107595663,0.01215722411358944,20.68969592726425,0.006458222770862625
"('ecoinvent-3.11-cutoff', '3d0a9a1e31964e2bf3d070e3e01b72f9')","treatment of brake wear emissions, lorry",RoW,"brake wear emissions, lorry",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",RoW,Rest of World,0.0,1.0,0.0,0.0,1.8150685202942896,1.8150685202942896,0.0,0.9075342601471448,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.11-cutoff', '241379122cc8a5826a36fec5dfb7bfb7')","market for sawnwood, lath, hardwood, raw, dried (u=20%)",Europe without Switzerland,"sawnwood, lath, hardwood, raw, dried (u=20%)",cubic meter,1610,16,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Europe without Switzerland,WEOG,202023.01810474796,26.643418309657378,4.145172878253264,116.73636559049132,198243.79971312467,0.9811637308311025,0.0005982763720440569,0.9905159325698617,0.00036507103171159387,1156.7960181574342,3.234476595192867,26.208032654969557,0.0,20.263583213509087,0.017468147005764906,0.022592537673381024,0.5073399392064893,0.01269040313308356
"('ecoinvent-3.11-cutoff', 'ee277099cf44a4c55522711246f8eadd')","treatment of aluminium scrap, new, at refiner",RER,"aluminium oxide, non-metallurgical",kilogram,2420,24,C,Manufacture of basic metals,RER,Eastern Europe,542.6720644865183,0.22641984784404842,1.0038023106327658,0.5441424432359404,536.7699172607674,0.9887113940258851,0.002851260039465044,0.9941471682968221,0.0016341587358530483,1.922728549069892,0.005720455166272609,0.03160707072742142,0.0,0.27199271180703183,0.14104221123273356,0.016389891906911275,0.5690379304964371,0.009678121073385348
"('ecoinvent-3.11-cutoff', '6b4ad51dad5dbf8ca0ca11af492a3d37')",market for aluminium chloride,GLO,aluminium chloride,kilogram,2011,20,C,Manufacture of chemicals and chemical products,GLO,Global,30330.42439348899,0.0688732232963543,1.076884185856256,17.347693270524672,30301.858781467778,0.9990559175878642,0.0006074605280686912,0.9995268234147168,0.0003048656432497562,60.75885201508806,0.08515211309214517,0.5320557722952401,0.0,0.6120796322991728,0.010059818400671055,0.008744588393202345,0.5043301515634716,0.00507205183346507
"('ecoinvent-3.11-cutoff', 'ed7ea3cc89b96fac5d1bfc75b326f7af')",nutrient supply from NPK (26-15-15) fertiliser,RER,"inorganic phosphorus fertiliser, as P2O5",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",RER,Eastern Europe,11374.419727273871,0.1431062605932361,1.1554356984443426,88.55543061274332,11230.912256599018,0.9873708924872316,0.007886972679662225,0.993679155616772,0.003949776966674868,73.86803582978236,0.16654292281171565,1.0652284996506873,0.0,2.2566512339392863,0.030481043749576494,0.014388256374233278,0.5141157574362124,0.008318892625692447
"('ecoinvent-3.11-cutoff', '6c2b0cbe073b420e35d86028f4f20ae0')","synthetic gas production, from wood, at fluidized bed gasifier",RoW,synthetic gas,cubic meter,3520,35,D,"Electricity, gas, steam and air conditioning supply",RoW,Rest of World,301.3170686499827,0.0019890655745093506,0.0011293379635522603,0.4557296205258524,299.64226421254875,0.9944351561573271,0.0015161966918158757,0.9972142774816327,0.0007613989429388548,0.9736184121306533,0.008519451548825581,0.00687045887991218,0.0,0.014071969025253761,0.014327895854187488,0.006995411880540589,0.5028267505417346,0.007834903325629377
"('ecoinvent-3.11-cutoff', '61b899fffdde4b698cb9233cf6a53fcb')",market for wheat flour mix,GLO,wheat flour mix,kilogram,1061,10,C,Manufacture of food products,GLO,Global,2021.1453160440665,0.14792867249775435,1.0178545754005344,107.67183983238075,2065.8848152115147,1.0220609110585552,0.05377235326535824,1.0109938629485413,0.026922769213415344,8.449026079660085,0.1783160181416956,0.08746031613458857,0.0,0.26628768383303214,0.03086555289153092,0.010137573674848618,0.5050984222425672,0.015403141040622648
"('ecoinvent-3.11-cutoff', '8e5c073110ad86110f3d883d9c5b3dcc')","electricity production, compressed air energy storage",RoW,"electricity, high voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",RoW,Rest of World,3731.3133356778585,0.007881612283949733,0.005373186840347077,1.016574856148255,3726.1821513468735,0.9986227221823049,0.00027388369520509623,0.9993103049488605,0.00013799798989437602,11.738052058043515,0.009323924838634213,3.6400410246916524,0.0,0.16954225593497022,0.014432351206092412,0.3098599236115187,0.5068193242188639,0.1553268131899417
"('ecoinvent-3.11-cutoff', '2b0d08b3cc5cd3953417dd22ce7db420')",ethanol production from wood,CH,"electricity, high voltage",kilowatt hour,2011,20,C,Manufacture of chemicals and chemical products,CH,WEOG,362.17523898075,0.005914383095226339,0.0032304592279942274,3.5375584089162633,355.9235999776771,0.9827225869484109,0.00977629243062021,0.991353128522716,0.004896311166799567,2.102446105017311,0.00612119749570051,3.613101739071268,0.0,0.054197899678630305,0.025703661255695613,1.713533988108958,0.5114003243163335,0.8582185003659932
"('ecoinvent-3.11-cutoff', '8392c7a225a9a88a775343fbcd44755b')","market for propylene glycol, liquid",RoW,"propylene glycol, liquid",kilogram,2011,20,C,Manufacture of chemicals and chemical products,RoW,Rest of World,24387.39995982537,0.07497066239700537,1.072188766957699,35.09744933174052,24328.521103443127,0.9975826186510626,0.0014831235378731686,0.9987897722524516,0.000743098842016325,95.6139638915586,0.10436903354611465,0.4571939748159784,0.0,1.6050178157203574,0.016768133822140544,0.004776451499356054,0.5078388785947016,0.0029334140660467354
"('ecoinvent-3.11-cutoff', '6de7744ad84aac2ce0b5e77ce4c813d9')","market for inorganic phosphorus fertiliser, as P2O5",CR,"inorganic phosphorus fertiliser, as P2O5",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",CR,GRULAC,6741.0460558208415,0.032276136347139224,1.0353083071998248,26.61685614300808,6700.623437083583,0.9939987502174804,0.004102038737499649,0.9969969811196218,0.0020534133578683105,31.142039575696472,0.04430500872489522,0.1619403028354336,0.0,0.5897904792088646,0.018911818203390367,0.005192667014791091,0.5087455820448489,0.003306660564241879
"('ecoinvent-3.11-cutoff', '918b78e00962307f6ac47fc71e300124')","organophosphorus-compound production, unspecified",RoW,"organophosphorus-compound, unspecified",kilogram,2021,20,C,Manufacture of chemicals and chemical products,RoW,Rest of World,41281.298520377866,0.21066957585406512,1.1768955905969245,44.74462106227911,41190.595982764426,0.9977977256894615,0.0011123991722679439,0.9988963112231938,0.0005587512076709254,142.32186947501742,0.25508321631138337,1.342510989189355,0.0,2.270759129489346,0.015926551147473416,0.009416044906611356,0.5070687298161778,0.00560256821086449
"('ecoinvent-3.11-cutoff', 'f8cd5ecb43b13ca4e68a5536b6788851')","land already in use, annual cropland to perennial crop",MY,"land tenure, arable land, measured as carbon net primary productivity, perennial crop",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",MY,Asia-Pacific,0.0,0.0,1.0,0.0,11.889759063720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
